rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
68,"spotify:track:59s0s39NFWScuHDbHytI14","Reik, J Balvin, Lalo Ebratt","Indeciso","Indeciso",29,54,132,"56456"
69,"spotify:track:4PJ3umtW1aWdfh5EITHc6T","Nicky Jam, Ozuna","Te Robaré","Sony Music Latin",4,53,286,"55934"
70,"spotify:track:0dlFCeKHsPhnLKPbqoOwwH","Santaferia","Haciendo nada","Santaferia",48,109,629,"55764"
71,"spotify:track:5iwz1NiezX7WWjnCgY5TH4","Pedro Capó, Farruko","Calma - Remix","Sony Music Latin",1,67,451,"55095"
72,"spotify:track:5w9c2J52mkdntKOmRLeM2m","Daddy Yankee, Snow","Con Calma","El Cartel Records (EC3)",1,66,343,"54977"
73,"spotify:track:56Q1u9KJUMcun4UWv0b7ik","Joe Vasconcellos","Las Seis","EMI CHILE",68,-1,3,"54692"
74,"spotify:track:6wWLC6V7TJ7NEygWHc1CFh","Amar Azul","Yo Me Enamoré","Leader Music",74,-1,14,"54602"
75,"spotify:track:6EWWkqE4aFlZRyoFwwOT8u","Javiielo","Pa Los Gustos Los Colores","Oye Saavedra / EMPIRE",42,50,80,"54592"
76,"spotify:track:2Qk6kXRswLfaqOMXOhrsUg","Proyecto Uno","Tiburon","J&N Records",76,-1,1,"53813"
77,"spotify:track:6U3AilMn51njMyILgOlBQl","Adan La Amenaza, Yordano El Menor, Yohancito, Anonimus King, Carlitos Junior, Forest, BlackRoy","Dele Cotele - Remix","Adan La Amenaza | Eyey Networks",54,76,90,"53275"
78,"spotify:track:5IYYyNV4ly1IFNBFLQO6ge","La Noche","Quiero Ser Libre","RPL Media SPA",78,-1,4,"52068"
79,"spotify:track:0wMs7DPFOnToNAoecvAFQc","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, De La Ghetto, Zion & Lennox","Uniforme","Rich Music",23,51,83,"51916"
80,"spotify:track:41BuYNd5IMSmDV7m6aNb8J","La Noche","Que Nadie Se Entere","RPL Media SPA",71,-1,3,"51607"
81,"spotify:track:7zoP4qnuk0npMUMAG3D1HA","Américo","Traicionera","Minga Records",76,-1,5,"51471"
82,"spotify:track:5gIqMEGT1Ov7q47H5MDF7n","Los Vikings 5","Boquita De Caramelo - Edit / 2005 Digital Remaster","EMI CHILE",59,-1,3,"50010"
83,"spotify:track:1KMZ7YYfxViSS2gY1WunZG","Amar Azul","Yo Tomo","Ponny Producciones",83,-1,1,"49806"
84,"spotify:track:41axLDYnS1sPpENZ654sCN","Los Vasquez, Santaferia","Mariajuana","Sello del Sur Producciones Ltda",79,135,106,"49797"
85,"spotify:track:5DrsyiBfSuIHS015buu06S","Chico Trujillo","Conductor","Perros con Tiña",63,-1,8,"49792"
